Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Жаліло Богуслава;Андріївна;жінка;26-05-1969;Ріелтор;селище Біла Церква;проспект Весела, буд. 755, Решетилівка, 36026;043 116 60 58;hryhorii32@example.net
Бандура Борис;Вітальович;чоловік;30-06-1953;Футболіст;село Білогірськ;набережна Садова 2-га, буд. 8, Павлоград, 09298;419 83 15;ilchenkonataliia@example.org
Франко Ірена;Василівна;жінка;22-11-2005;Євнух;хутір Роздільна;шосе Інтернаціональний, буд. 639 кв. 7, Любомль, 36526;+380 (43) 698-49-56;mtereshchenko@example.org
Забарний Гліб;Тимофійович;чоловік;02-03-2002;Слідчий;село Дружківка;площа Іванівська, буд. 922 кв. 719, Свалява, 80807;436-86-33;itsybulenko@example.net
Балабан Василина;Віталівна;жінка;26-09-1958;Дерун;місто Охтирка;проспект Творча, буд. 7, Богодухів, 52442;809 46 27;opanaskonoplia@example.net
Ковпак Мирослав;Іванович;чоловік;31-07-2001;Мікробіолог;хутір Васильків;проспект Недєліна, буд. 9 кв. 934, Радехів, 93371;+380 53 893 27 20;vhaidai@example.net
Симоненко Зорян;Махайлович;чоловік;15-12-1973;Клавішник;місто Фастів;площа Мінська, буд. 450, Українка , 71539;+380 02 901-10-79;adapiatachenko@example.com
Єрмоленко Ярослава;Дмитрівна;жінка;22-04-1953;Палеонтолог;селище Авдіївка;проспект 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 05 кв. 231, Федорівка, 07822;+380 19 069-21-67;danna33@example.com
Артим Камілла;Олегівна;жінка;07-06-2003;Скульптор;селище Тараща;провулок Лиманчик 2-й Лінія 4-та, буд. 77 кв. 9, Сміла, 75745;116-67-00;holoborodkoiustyna@example.com
Масоха Єлисавета;Миколайович;жінка;03-06-1971;Візажист;хутір Привілля;вулиця Хаджибейська дорога, буд. 282, Добромиль, 61820;+380 46 934-22-85;khomasahal@example.com
Забарний Дан;Махайлович;чоловік;29-09-1989;Кінолог;селище Запоріжжя;шосе 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 47, Вовчанськ, 40487;375-70-27;fedir05@example.net
Дашенко Лукʼян;Сергійович;чоловік;20-05-1946;Графік;місто Ямпіль;узвіз Міхновського Миколи, буд. 812 кв. 5, Пирятин, 62823;+380 33 048-86-34;rtiahnybok@example.net
Дробаха Галина;Володимирівна;жінка;26-11-1940;Бізнесмен;селище Червоноград;проспект Пантелеймонівська, буд. 29, Бунге , 34377;027 516 56 72;liza70@example.com
Фоменко Захар;Васильович;чоловік;28-02-1991;Зоолог;місто Тлумач;парк Тимірязєва 5-й, буд. 8 кв. 08, Тернопіль, 53946;018 645-72-00;olesbaidak@example.net
Ярема Антон;Іванович;чоловік;13-01-1975;Намотувальник;хутір Кам'янка (Черкаська область);вулиця Крутоярська, буд. 01, Ворожба, 48281;+380 (85) 915-93-84;zasukhaliliia@example.org
Данченко Вікторія;Юріївна;жінка;01-10-1985;Громадський діяч;село Добропілля;шосе Вокзальна, буд. 925, Донецьк, 09568;+380 96 610-70-88;jkharchenko@example.com
Вдовенко Камілла;Іванівна;жінка;18-12-1947;Геофізик;селище Ковель;шосе Дзвінка, буд. 1 кв. 709, Приморськ (Україна), 28259;+380 (17) 862-51-37;ytsiupa@example.net
Євтушок Єлисей;Іванович;чоловік;26-10-2001;Геолог;хутір Хмільник;площа Яблочкіної, буд. 423 кв. 500, Сквира, 67632;832 47 71;avhustyn50@example.net
Чумаченко Альбіна;Володимирівна;жінка;08-04-1961;Музикант;селище Кременчук;сквер Бориса Дерев'янка, буд. 24 кв. 31, Добромиль, 14606;+380 20 258-29-39;xtryhub@example.com
Жук Омелян;Дмитрович;чоловік;18-06-1977;Бібліограф;місто Канів;площа Віцеадмірала Азарова, буд. 28 кв. 31, Дніпро , 99675;+380 70 288-74-69;ievhen27@example.org
Воблий Гаврило;Дмитрович;чоловік;24-09-1966;Дерун;хутір Мирноград;проспект Дзвінка, буд. 78, Хорол , 33532;+380 52 004-01-99;amaliiatsymbal@example.org
Гаврилишин Макар;Тимофійович;чоловік;09-06-1947;Юрист;хутір Кам'янець-Подільський;шосе Князівський, буд. 896 кв. 882, Хмільник, 62750;+380 69 070 84 52;bohdan46@example.net
Шамрай Соломон;Миколайович;чоловік;27-01-2008;Диригент;селище Теплодар;узвіз Чорноморський 12-й, буд. 627 кв. 18, Люботин, 64119;005 593 07 57;serhii50@example.com
Вишняк Віра;Олександрівна;жінка;12-03-1990;Гінеколог;хутір Новий Розділ;проспект Каховський, буд. 84, Старий Крим, 25113;+380 (14) 356-97-63;khomykleon@example.net
Жук Ярема;Васильович;чоловік;20-10-2001;Футболіст;село Дергачі;площа Сільськогосподарський, буд. 27, Київ, 69784;917-80-98;tryhublukian@example.org
Іваничук Євген;Сергійович;чоловік;01-09-1971;Журналіст;селище Полонне;узвіз Рибальська, буд. 5 кв. 9, Сміла, 78767;+380 (56) 094-70-80;allakabaliuk@example.com
Бабійчук Ганна;Олегівна;жінка;19-01-1994;Скульптор;хутір Чорноморськ;проспект Чернівецький, буд. 7 кв. 017, Звенигородка, 51222;+380 92 367-32-11;bduplii@example.org
Засядько Віра;Володимирівна;жінка;16-05-1952;Випробувач;село Сарни;парк Косовський, буд. 095 кв. 2, Вуглегірськ, 16058;+380 75 393-38-45;zakharkarpa@example.org
Верес Тарас;Валерійович;чоловік;10-12-1958;Літературознавець;селище Нетішин;узвіз Виноградна 1-ша, буд. 3 кв. 72, Чоп, 58600;752-25-67;lavramchuk@example.net
Тимченко Віктор;Олександрович;чоловік;14-08-1974;Громадський діяч;хутір Городок;набережна Моторний 2-й, буд. 55, Дніпрорудне, 23620;042 040-03-62;adamenkoiustym@example.com
Євтушенко Макар;Олегович;чоловік;17-08-1939;Фольклорист;хутір Мена ;парк Розумовський 1-й, буд. 966 кв. 3, Овруч, 57817;+380 78 595 18 27;vladyslav02@example.org
Захарченко Аркадій;Махайлович;чоловік;25-04-1945;Мовознавець;село Носівка;сквер Овідіопольська, буд. 851, Покровськ, 68945;488-99-65;pieshchenko@example.org
Затовканюк Альберт;Анатолійович;чоловік;31-01-1980;Вчитель;хутір Жовті Води;площа Карантинна, буд. 95 кв. 015, Устилуг, 86903;085 692 23 40;cherednykiakiv@example.com
Шиян Ганна;Миколайович;жінка;21-01-1970;Випробувач;селище Ялта;сквер Кипарисний 2-й, буд. 09, Хорол , 61868;+380 33 513-82-45;heorhiimykytiuk@example.com
Дробаха Дмитро;Вітальович;чоловік;09-02-1969;Археолог;селище Макіївка;вулиця Матюшенка, буд. 64, Гірник , 93271;000 225 71 54;varvara38@example.org
Уманець Віолетта;Олегівна;жінка;13-06-1999;Публіцист;село Зоринськ;провулок Балківська, буд. 483 кв. 092, Зимогір'я, 44871;174-40-32;venedykt90@example.com
Христич Людмила;Василівна;жінка;18-03-1965;Патологоанатом;село Володимир-Волинський;сквер Коблевська, буд. 16, Лебедин, 97534;+380 18 467-34-29;halyna12@example.net
Михайличенко Веніямин;Тимофійович;чоловік;19-01-1984;Мікробіолог;селище Харків;узвіз Залізничний 3-й, буд. 494, Шахтарськ, 55225;+380 01 777 42 39;bohuslava47@example.com
